Generation,Max Fitness,Average Fitness,World,Level
1,297,6.65625,0,0
2,297,20.0546875,0,0
3,594,34.875,0,0
4,679,49.90234375,0,0
5,832,49.4453125,0,0
6,898,57.3125,0,0
7,1128,96.3828125,0,0
8,1128,100.51953125,0,0
9,1139,115.97265625,0,0
10,1139,116.390625,0,0
11,1139,137.7734375,0,0
12,1139,117.9296875,0,0
13,1139,168.41796875,0,0
14,1139,164.44921875,0,0
15,1139,166.6015625,0,0
16,1139,175.84375,0,0
17,1139,175.18359375,0,0
18,2469,119.33203125,0,0
19,2752,93.15234375,0,0
20,2752,94.3828125,0,0
21,2752,111.1875,0,0
22,2752,105.27734375,0,0
23,2759,112.17578125,0,0
24,2759,119.17578125,0,0
25,1090,132.2265625,0,1
26,1186,102.18359375,0,1
27,1186,96.65234375,0,1
28,1186,100.49609375,0,1
29,1186,123.1796875,0,1
30,1206,130.828125,0,1
31,1206,138.33984375,0,1
32,1206,123.27734375,0,1
33,1206,119.31640625,0,1
34,1341,108.77734375,0,1
35,1551,150.03515625,0,1
36,1551,149.1796875,0,1
37,1551,157.12109375,0,1
38,1551,160.671875,0,1
39,1551,138.23046875,0,1
40,1551,134.31640625,0,1
41,1551,151.6640625,0,1
42,1551,154.8515625,0,1
43,1551,170.671875,0,1
44,1956,140.890625,0,1
45,2336,81.09765625,0,1
46,2336,79.3671875,0,1
47,2336,89.93359375,0,1
48,2336,136.82421875,0,1
49,2336,99.97265625,0,1
50,2336,105.73828125,0,1
51,2336,149.75,0,1
52,2336,124.109375,0,1
53,2336,149.68359375,0,1
54,2336,158.2890625,0,1
55,2336,140.58984375,0,1
56,2336,148.86328125,0,1
57,2336,130.79296875,0,1
58,2336,126.65234375,0,1
59,2336,125.16015625,0,1
60,2336,152.953125,0,1
61,2336,175.953125,0,1
62,2336,189.8046875,0,1
63,2336,126.453125,0,1
64,2336,121.45703125,0,1
65,2336,149.01171875,0,1
66,2429,147.21875,0,1
67,2429,127.03515625,0,1
68,2429,180.9765625,0,1
69,2429,206.8359375,0,1
70,2429,198.1171875,0,1
71,2429,239.01171875,0,1
72,2429,134.66796875,0,1
73,2429,214.40625,0,1
74,2429,179.703125,0,1
75,2429,143.8203125,0,1
76,2429,152.14453125,0,1
77,2429,143.375,0,1
78,2429,196.09765625,0,1
79,2429,177.953125,0,1
